id,name,domain,website,country
150,Universitas Sam Ratulangi,unsrat.ac.id,http://www.unsrat.ac.id/,Indonesia
151,Universitas Sriwijaya,unsri.ac.id,http://www.unsri.ac.id/,Indonesia
152,Universitas Swadaya Gunung Djati,unswagati-crb.ac.id,http://www.unswagati-crb.ac.id/,Indonesia
153,Universitas Syiah Kuala,unsyiah.ac.id,http://www.unsyiah.ac.id/,Indonesia
154,Universitas Tadulako,untad.ac.id,http://www.untad.ac.id/,Indonesia
155,Universitas 17 Agustus 1945 Surabaya,untag.ac.id,http://www.untag.ac.id/,Indonesia
156,Universitas 17 Agustus 1945 Banyuwangi,untag-banyuwangi.ac.id,http://www.untag-banyuwangi.ac.id/,Indonesia
157,Universitas 17 Agustus 1945 Cirebon,untagcirebon.info,http://www.untagcirebon.info/,Indonesia
158,Universitas 17 Agustus 1945 Jakarta,untag-jkt.org,http://www.untag-jkt.org/,Indonesia
159,Universitas 17 Agustus 1945 Samarinda,untag-smd.ac.id,http://www.untag-smd.ac.id/,Indonesia
160,Universitas 17 Agustus 1945 Semarang,untagsmg.ac.id,http://www.untagsmg.ac.id/,Indonesia
161,Universitas Tanjungpura,untan.ac.id,http://www.untan.ac.id/,Indonesia
162,Universitas Tarumanagara,untar.ac.id,http://www.untar.ac.id/,Indonesia
163,Universitas Sultan Ageng Tirtayasa,untirta.ac.id,http://www.untirta.ac.id/,Indonesia
164,Universitas Udayana,unud.ac.id,http://www.unud.ac.id/,Indonesia
165,Universitas Wijaya Kusuma Purwokerto,unwiku.ac.id,http://www.unwiku.ac.id/,Indonesia
166,Universitas Negeri Yogyakarta,uny.ac.id,http://www.uny.ac.id/,Indonesia
167,Universitas Proklamasi 45,up45.ac.id,http://www.up45.ac.id/,Indonesia
168,Universitas Pelita Harapan,uph.edu,http://www.uph.edu/,Indonesia
169,Universitas Pendidikan Indonesia,upi.edu,http://www.upi.edu/,Indonesia
170,"Universitas Pembangunan Nasional ""Veteran"" Jakarta",upnvj.ac.id,http://www.upnvj.ac.id/,Indonesia
171,"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",upnjatim.ac.id,http://www.upnjatim.ac.id/,Indonesia
172,"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",upnyk.ac.id,http://www.upnyk.ac.id/,Indonesia
173,Universitas Palangka Raya,upr.ac.id,http://www.upr.ac.id/,Indonesia
174,Universitas Pancasakti Tegal,upstegal.ac.id,http://www.upstegal.ac.id/,Indonesia
175,Universitas Sanata Dharma,usd.ac.id,http://www.usd.ac.id/,Indonesia
176,Universitas Simalungun,usi.ac.id,http://www.usi.ac.id/,Indonesia
177,Universitas Semarang,usm.ac.id,http://www.usm.ac.id/,Indonesia
178,Universitas Sumatera Utara,usu.ac.id,http://www.usu.ac.id/,Indonesia
179,Universitas Terbuka Indonesia,ut.ac.id,http://www.ut.ac.id/,Indonesia
180,Universitas Tidar Magelang,untidar.ac.id,http://www.untidar.ac.id/,Indonesia
181,Universitas Tunas Pembangunan,utp.ac.id,http://www.utp.ac.id/,Indonesia
182,Universitas Widya Gama Malang,widyagama.ac.id,http://www.widyagama.ac.id/,Indonesia
183,Universitas Katolik Widya Karya,widyakarya.ac.id,http://www.widyakarya.ac.id/,Indonesia
184,Universitas Widyatama,widyatama.ac.id,http://www.widyatama.ac.id/,Indonesia
185,Universitas Wijaya Kusuma Surabaya,wijayakusumasby.ac.id,http://www.wijayakusumasby.ac.id/,Indonesia
186,Universitas Katolik Widya Manadala,wima.ac.id,http://www.wima.ac.id/,Indonesia
187,Universitas Wisnuwardhana,wisnuwardhana.ac.id,http://www.wisnuwardhana.ac.id/,Indonesia
188,Universitas Persada Indonesia Y.A.I,yai.ac.id,http://www.yai.ac.id/,Indonesia
189,Universitas Yarsi,yarsi.ac.id,http://www.yarsi.ac.id/,Indonesia
190,Duta Bangsa University,udb.ac.id,https://udb.ac.id/,Indonesia
191,Akademi Farmasi Yarsis Pekanbaru,akfaryarsiptk.ac.id,https://akfaryarsiptk.ac.id,Indonesia
