state-province,domains,country,alpha_two_code,name,web_pages
,['unswagati-crb.ac.id'],Indonesia,ID,Universitas Swadaya Gunung Djati,['http://www.unswagati-crb.ac.id/']
,['unsyiah.ac.id'],Indonesia,ID,Universitas Syiah Kuala,['http://www.unsyiah.ac.id/']
,['untad.ac.id'],Indonesia,ID,Universitas Tadulako,['http://www.untad.ac.id/']
,['untag.ac.id'],Indonesia,ID,Universitas 17 Agustus 1945 Surabaya,['http://www.untag.ac.id/']
,['untag-banyuwangi.ac.id'],Indonesia,ID,Universitas 17 Agustus 1945 Banyuwangi,['http://www.untag-banyuwangi.ac.id/']
,['untagcirebon.info'],Indonesia,ID,Universitas 17 Agustus 1945 Cirebon,['http://www.untagcirebon.info/']
,['untag-jkt.org'],Indonesia,ID,Universitas 17 Agustus 1945 Jakarta,['http://www.untag-jkt.org/']
,['untag-smd.ac.id'],Indonesia,ID,Universitas 17 Agustus 1945 Samarinda,['http://www.untag-smd.ac.id/']
,['untagsmg.ac.id'],Indonesia,ID,Universitas 17 Agustus 1945 Semarang,['http://www.untagsmg.ac.id/']
,['untan.ac.id'],Indonesia,ID,Universitas Tanjungpura,['http://www.untan.ac.id/']
,['untar.ac.id'],Indonesia,ID,Universitas Tarumanagara,['http://www.untar.ac.id/']
,['untirta.ac.id'],Indonesia,ID,Universitas Sultan Ageng Tirtayasa,['http://www.untirta.ac.id/']
,['unud.ac.id'],Indonesia,ID,Universitas Udayana,['http://www.unud.ac.id/']
,['unwiku.ac.id'],Indonesia,ID,Universitas Wijaya Kusuma Purwokerto,['http://www.unwiku.ac.id/']
,['uny.ac.id'],Indonesia,ID,Universitas Negeri Yogyakarta,['http://www.uny.ac.id/']
,['up45.ac.id'],Indonesia,ID,Universitas Proklamasi 45,['http://www.up45.ac.id/']
,['uph.edu'],Indonesia,ID,Universitas Pelita Harapan,['http://www.uph.edu/']
,['upi.edu'],Indonesia,ID,Universitas Pendidikan Indonesia,['http://www.upi.edu/']
,['upnvj.ac.id'],Indonesia,ID,"Universitas Pembangunan Nasional ""Veteran"" Jakarta",['http://www.upnvj.ac.id/']
,['upnjatim.ac.id'],Indonesia,ID,"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",['http://www.upnjatim.ac.id/']
,['upnyk.ac.id'],Indonesia,ID,"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",['http://www.upnyk.ac.id/']
,['upr.ac.id'],Indonesia,ID,Universitas Palangka Raya,['http://www.upr.ac.id/']
,['upstegal.ac.id'],Indonesia,ID,Universitas Pancasakti Tegal,['http://www.upstegal.ac.id/']
,['usd.ac.id'],Indonesia,ID,Universitas Sanata Dharma,['http://www.usd.ac.id/']
,['usi.ac.id'],Indonesia,ID,Universitas Simalungun,['http://www.usi.ac.id/']
,['usm.ac.id'],Indonesia,ID,Universitas Semarang,['http://www.usm.ac.id/']
,['usu.ac.id'],Indonesia,ID,Universitas Sumatera Utara,['http://www.usu.ac.id/']
,['ut.ac.id'],Indonesia,ID,Universitas Terbuka Indonesia,['http://www.ut.ac.id/']
,['untidar.ac.id'],Indonesia,ID,Universitas Tidar Magelang,['http://www.untidar.ac.id/']
,['utp.ac.id'],Indonesia,ID,Universitas Tunas Pembangunan,['http://www.utp.ac.id/']
,['widyagama.ac.id'],Indonesia,ID,Universitas Widya Gama Malang,['http://www.widyagama.ac.id/']
,['widyakarya.ac.id'],Indonesia,ID,Universitas Katolik Widya Karya,['http://www.widyakarya.ac.id/']
,['widyatama.ac.id'],Indonesia,ID,Universitas Widyatama,['http://www.widyatama.ac.id/']
,['wijayakusumasby.ac.id'],Indonesia,ID,Universitas Wijaya Kusuma Surabaya,['http://www.wijayakusumasby.ac.id/']
,['wima.ac.id'],Indonesia,ID,Universitas Katolik Widya Manadala,['http://www.wima.ac.id/']
,['wisnuwardhana.ac.id'],Indonesia,ID,Universitas Wisnuwardhana,['http://www.wisnuwardhana.ac.id/']
,['yai.ac.id'],Indonesia,ID,Universitas Persada Indonesia Y.A.I,['http://www.yai.ac.id/']
,['yarsi.ac.id'],Indonesia,ID,Universitas Yarsi,['http://www.yarsi.ac.id/']
,['udb.ac.id'],Indonesia,ID,Duta Bangsa University,['https://udb.ac.id/']
,['akfaryarsiptk.ac.id'],Indonesia,ID,Akademi Farmasi Yarsis Pekanbaru,['https://akfaryarsiptk.ac.id']
