name,domain,website,country,created_at
Universitas PGRI Adi Buana Surabaya,unipasby.ac.id,http://www.unipasby.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Jambi,unja.ac.id,http://www.unja.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Jakarta,unj.ac.id,http://www.unj.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Jenderal Achmad Yani,unjani.ac.id,http://www.unjani.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Khairun,unkhair.ac.id,http://www.unkhair.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Krisnadwipayana,unkris.ac.id,http://www.unkris.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Lambung Mangkurat,unlam.ac.id,http://www.unlam.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Makassar,unm.ac.id,http://www.unm.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Mahasaraswati Denpasar,unmas.org,http://www.unmas.org/,Indonesia,2024-09-08 21:12:57.011106
Universitas Merdeka Malang,unmer.ac.id,http://www.unmer.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Merdeka Madiun,unmer-madiun.ac.id,http://www.unmer-madiun.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Jember,unmuhjember.ac.id,http://www.unmuhjember.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Mataram,unmuhmataram.com,http://www.unmuhmataram.com/,Indonesia,2024-09-08 21:12:57.011106
Universitas Mulawarman,unmul.ac.id,http://www.unmul.ac.id/,Indonesia,2024-09-08 21:12:57.011106
STMIK Widya Cipta Dharma,wicida.ac.id,http://www.wicida.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Semarang,unnes.ac.id,http://www.unnes.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Padang,unp.ac.id,http://www.unp.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Padjadjaran,unpad.ac.id,http://www.unpad.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pakuan,unpak.ac.id,http://www.unpak.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Katolik Parahyangan,unpar.ac.id,http://www.unpar.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pasundan,unpas.ac.id,http://www.unpas.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pattimura,unpatti.ac.id,http://www.unpatti.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Ngurah Rai,unr.ac.id,http://www.unr.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Mataram,unram.ac.id,http://www.unram.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Riau,unri.ac.id,http://www.unri.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sebelas Maret,uns.ac.id,http://www.uns.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Darma Persada,unsada.ac.id,http://www.unsada.ac.id/,Indonesia,2024-09-08 21:12:57.011106
